Fullness, Decoded, Time, //
1.420000, 1.000000, 3573.825000, //
1.430000, 1.000000, 3124.800000, //
1.440000, 1.000000, 3292.925000, //
1.450000, 1.000000, 3405.225000, //
1.460000, 1.000000, 3978.000000, //
1.470000, 1.000000, 4751.575000, //
1.480000, 1.000000, 5264.525000, //
1.490000, 1.000000, 5914.400000, //
1.500000, 1.000000, 6012.500000, //
1.510000, 1.000000, 7087.025000, //
1.520000, 0.975000, 8157.450000, //
1.530000, 0.700000, 9440.850000, //
1.540000, 0.325000, 10021.275000, //
1.550000, 0.050000, 6714.275000, //
1.560000, 0.000000, 5827.975000, //
1.570000, 0.000000, 4773.700000, //
1.580000, 0.000000, 4361.800000, //
1.590000, 0.000000, 3709.850000, //
