Fullness, Decoded, Time, //
1.420000, 1.000000, 2805.425000, //
1.430000, 1.000000, 2949.075000, //
1.440000, 1.000000, 3504.975000, //
1.450000, 1.000000, 3821.050000, //
1.460000, 1.000000, 4152.900000, //
1.470000, 1.000000, 4478.600000, //
1.480000, 1.000000, 5419.425000, //
1.490000, 1.000000, 5886.075000, //
1.500000, 1.000000, 6155.925000, //
1.510000, 1.000000, 8346.850000, //
1.520000, 0.925000, 10601.975000, //
1.530000, 0.725000, 9005.750000, //
1.540000, 0.200000, 7068.750000, //
1.550000, 0.025000, 5988.325000, //
1.560000, 0.000000, 4814.200000, //
1.570000, 0.000000, 4184.950000, //
1.580000, 0.000000, 4055.875000, //
1.590000, 0.000000, 3452.575000, //
