Fullness, Decoded, Time, //
1.420000, 1.000000, 8524.250000, //
1.430000, 0.975000, 8196.750000, //
1.440000, 0.850000, 9941.000000, //
1.450000, 0.450000, 11041.800000, //
1.460000, 0.025000, 9024.800000, //
1.470000, 0.000000, 8477.425000, //
1.480000, 0.000000, 6302.600000, //
1.490000, 0.000000, 5722.000000, //
1.500000, 0.000000, 4871.500000, //
1.510000, 0.000000, 4263.650000, //
1.520000, 0.000000, 4155.000000, //
1.530000, 0.000000, 4196.950000, //
1.540000, 0.000000, 3466.200000, //
1.550000, 0.000000, 3329.625000, //
1.560000, 0.000000, 3202.700000, //
1.570000, 0.000000, 4349.050000, //
1.580000, 0.000000, 3542.650000, //
1.590000, 0.000000, 3100.050000, //
