Fullness, Decoded, Time, //
1.420000, 1.000000, 3903.450000, //
1.430000, 1.000000, 4871.550000, //
1.440000, 1.000000, 5836.400000, //
1.450000, 1.000000, 6296.125000, //
1.460000, 1.000000, 7103.600000, //
1.470000, 1.000000, 8573.950000, //
1.480000, 0.950000, 9523.775000, //
1.490000, 0.650000, 9736.650000, //
1.500000, 0.325000, 9732.850000, //
1.510000, 0.075000, 7829.275000, //
1.520000, 0.000000, 6511.775000, //
1.530000, 0.000000, 5535.525000, //
1.540000, 0.000000, 4376.775000, //
1.550000, 0.000000, 3876.500000, //
1.560000, 0.000000, 3716.875000, //
1.570000, 0.000000, 3910.625000, //
1.580000, 0.000000, 3575.650000, //
1.590000, 0.000000, 3208.325000, //
