Fullness, Decoded, Time, //
1.420000, 0.975000, 2901.100000, //
1.430000, 0.975000, 2886.850000, //
1.440000, 0.925000, 3801.225000, //
1.450000, 0.975000, 3272.425000, //
1.460000, 0.950000, 3622.450000, //
1.470000, 0.975000, 3885.425000, //
1.480000, 1.000000, 4531.700000, //
1.490000, 0.925000, 5848.975000, //
1.500000, 0.925000, 5978.275000, //
1.510000, 0.975000, 5743.150000, //
1.520000, 0.925000, 6243.100000, //
1.530000, 0.875000, 7819.550000, //
1.540000, 0.650000, 9527.800000, //
1.550000, 0.475000, 6855.275000, //
1.560000, 0.225000, 5620.900000, //
1.570000, 0.075000, 4707.125000, //
1.580000, 0.000000, 3042.050000, //
1.590000, 0.000000, 3154.300000, //
