Fullness, Decoded, Time
0.720000, 1.000000, 25.600000
0.721000, 0.990000, 26.610000
0.722000, 1.000000, 25.410000
0.723000, 1.000000, 25.450000
0.724000, 1.000000, 23.300000
0.725000, 1.000000, 37.050000
0.726000, 1.000000, 22.440000
0.727000, 1.000000, 26.360000
0.728000, 1.000000, 23.430000
0.729000, 1.000000, 20.950000
0.730000, 1.000000, 38.450000
0.731000, 1.000000, 71.160000
0.732000, 1.000000, 26.880000
0.733000, 1.000000, 25.820000
0.734000, 1.000000, 24.050000
0.735000, 1.000000, 26.290000
0.736000, 0.990000, 29.350000
0.737000, 1.000000, 35.660000
0.738000, 1.000000, 23.180000
0.739000, 1.000000, 22.090000
0.740000, 1.000000, 21.680000
0.741000, 1.000000, 22.910000
0.742000, 1.000000, 230.820000
0.743000, 1.000000, 21.510000
0.744000, 1.000000, 21.270000
0.745000, 1.000000, 37.150000
0.746000, 1.000000, 35.180000
0.747000, 1.000000, 20.580000
0.748000, 1.000000, 21.890000
0.749000, 1.000000, 19.080000
0.750000, 1.000000, 20.180000
0.751000, 0.990000, 24.150000
0.752000, 0.990000, 29.070000
0.753000, 1.000000, 19.810000
0.754000, 1.000000, 18.990000
0.755000, 1.000000, 21.220000
0.756000, 1.000000, 19.070000
0.757000, 1.000000, 29.090000
0.758000, 1.000000, 26.190000
0.759000, 0.990000, 19.090000
0.760000, 1.000000, 19.200000
0.761000, 1.000000, 26.630000
0.762000, 0.990000, 34.640000
0.763000, 1.000000, 27.960000
0.764000, 1.000000, 20.700000
0.765000, 1.000000, 19.190000
0.766000, 1.000000, 31.770000
0.767000, 1.000000, 48.950000
0.768000, 1.000000, 38.200000
0.769000, 0.980000, 23.540000
0.770000, 0.980000, 21.630000
0.771000, 0.950000, 90.440000
0.772000, 0.940000, 22.760000
0.773000, 0.930000, 20.660000
0.774000, 0.900000, 1534.480000
0.775000, 0.910000, 42.720000
0.776000, 0.870000, 27.100000
0.777000, 0.870000, 52.590000
0.778000, 0.740000, 604.970000
0.779000, 0.700000, 36.800000
0.780000, 0.590000, 28.640000
0.781000, 0.530000, 30.040000
0.782000, 0.540000, 805.540000
0.783000, 0.320000, 69.350000
0.784000, 0.320000, 32.170000
0.785000, 0.260000, 34.690000
0.786000, 0.100000, 1561.590000
0.787000, 0.150000, 66.030000
0.788000, 0.160000, 34.390000
0.789000, 0.080000, 41.980000
0.790000, 0.060000, 1491.630000
0.791000, 0.030000, 30.430000
0.792000, 0.020000, 23.450000
0.793000, 0.010000, 20.990000
0.794000, 0.000000, 19.060000
0.795000, 0.000000, 19.100000
0.796000, 0.000000, 24.240000
0.797000, 0.010000, 30.950000
0.798000, 0.000000, 247.950000
0.799000, 0.000000, 20.740000
0.800000, 0.000000, 18.960000
0.801000, 0.000000, 18.310000
0.802000, 0.000000, 18.190000
0.803000, 0.000000, 18.560000
0.804000, 0.000000, 20.180000
0.805000, 0.000000, 22.870000
0.806000, 0.000000, 24.870000
0.807000, 0.000000, 35.770000
0.808000, 0.000000, 37.970000
0.809000, 0.000000, 43.830000
0.810000, 0.000000, 27.120000
0.811000, 0.000000, 19.280000
0.812000, 0.000000, 17.670000
0.813000, 0.000000, 20.000000
0.814000, 0.000000, 20.790000
0.815000, 0.000000, 31.510000
0.816000, 0.000000, 38.850000
0.817000, 0.000000, 35.210000
0.818000, 0.000000, 20.400000
0.819000, 0.000000, 22.500000
0.820000, 0.000000, 26.780000
0.821000, 0.000000, 25.240000
0.822000, 0.000000, 260.900000
0.823000, 0.000000, 19.930000
0.824000, 0.000000, 20.380000
0.825000, 0.000000, 19.020000
0.826000, 0.000000, 23.400000
0.827000, 0.000000, 97.950000
0.828000, 0.000000, 25.850000
0.829000, 0.000000, 51.500000
0.830000, 0.000000, 51.660000
0.831000, 0.000000, 34.170000
0.832000, 0.000000, 73.470000
0.833000, 0.000000, 1780.760000
0.834000, 0.000000, 3099.570000
0.835000, 0.000000, 62.370000
0.836000, 0.000000, 51.250000
0.837000, 0.000000, 47.780000
0.838000, 0.000000, 40.960000
0.839000, 0.000000, 39.470000
0.840000, 0.000000, 887.830000
0.841000, 0.000000, 71.700000
0.842000, 0.000000, 60.310000
0.843000, 0.000000, 55.410000
0.844000, 0.000000, 48.390000
0.845000, 0.000000, 123.900000
0.846000, 0.000000, 21.160000
0.847000, 0.000000, 34.970000
0.848000, 0.000000, 20.650000
0.849000, 0.000000, 19.850000
