Fullness, Decoded, Time, //
1.420000, 1.000000, 2792.225000, //
1.430000, 1.000000, 2700.500000, //
1.440000, 1.000000, 3341.525000, //
1.450000, 1.000000, 3739.375000, //
1.460000, 1.000000, 4453.725000, //
1.470000, 1.000000, 4915.775000, //
1.480000, 1.000000, 5382.025000, //
1.490000, 1.000000, 5793.850000, //
1.500000, 1.000000, 7654.150000, //
1.510000, 1.000000, 7732.375000, //
1.520000, 0.950000, 8624.800000, //
1.530000, 0.500000, 8469.625000, //
1.540000, 0.200000, 9250.350000, //
1.550000, 0.025000, 5933.475000, //
1.560000, 0.000000, 5296.075000, //
1.570000, 0.000000, 4050.850000, //
1.580000, 0.000000, 3238.750000, //
1.590000, 0.000000, 3143.350000, //
