Fullness, Decoded, Time, //
1.420000, 0.950000, 4038.825000, //
1.430000, 0.925000, 4120.650000, //
1.440000, 0.925000, 4954.025000, //
1.450000, 0.725000, 4886.525000, //
1.460000, 0.450000, 4870.250000, //
1.470000, 0.250000, 4194.850000, //
1.480000, 0.025000, 3795.300000, //
1.490000, 0.000000, 3452.925000, //
1.500000, 0.000000, 4397.125000, //
1.510000, 0.000000, 2956.150000, //
1.520000, 0.000000, 3187.950000, //
1.530000, 0.000000, 2288.825000, //
1.540000, 0.000000, 2288.200000, //
1.550000, 0.000000, 2233.050000, //
1.560000, 0.000000, 1847.125000, //
1.570000, 0.000000, 1994.725000, //
1.580000, 0.000000, 2673.200000, //
1.590000, 0.000000, 2246.350000, //
