Fullness, Decoded, Time, //
1.420000, 0.925000, 4119.200000, //
1.430000, 0.950000, 3407.925000, //
1.440000, 0.950000, 4204.375000, //
1.450000, 0.950000, 4831.275000, //
1.460000, 0.950000, 5715.750000, //
1.470000, 0.950000, 5335.225000, //
1.480000, 0.975000, 7425.950000, //
1.490000, 0.825000, 7578.250000, //
1.500000, 0.675000, 11492.825000, //
1.510000, 0.350000, 7918.900000, //
1.520000, 0.125000, 6435.825000, //
1.530000, 0.025000, 5973.550000, //
1.540000, 0.000000, 4148.200000, //
1.550000, 0.000000, 3007.300000, //
1.560000, 0.000000, 3021.050000, //
1.570000, 0.000000, 2786.150000, //
1.580000, 0.000000, 2618.825000, //
1.590000, 0.000000, 2480.775000, //
