BatteryDecodingResult { Fullness = 0.763, MeanDecodedCorrectly = 0.99, MeanAverageDecoded = 0.99, MeanMillisecondsElapsed = 28.35 }
BatteryDecodingResult { Fullness = 0.764, MeanDecodedCorrectly = 1, MeanAverageDecoded = 1, MeanMillisecondsElapsed = 37.8 }
BatteryDecodingResult { Fullness = 0.765, MeanDecodedCorrectly = 1, MeanAverageDecoded = 1, MeanMillisecondsElapsed = 34.79 }
BatteryDecodingResult { Fullness = 0.766, MeanDecodedCorrectly = 1, MeanAverageDecoded = 1, MeanMillisecondsElapsed = 42.89 }
BatteryDecodingResult { Fullness = 0.767, MeanDecodedCorrectly = 1, MeanAverageDecoded = 1, MeanMillisecondsElapsed = 29.3 }
BatteryDecodingResult { Fullness = 0.768, MeanDecodedCorrectly = 1, MeanAverageDecoded = 1, MeanMillisecondsElapsed = 31.82 }
BatteryDecodingResult { Fullness = 0.769, MeanDecodedCorrectly = 1, MeanAverageDecoded = 1, MeanMillisecondsElapsed = 86.5 }
BatteryDecodingResult { Fullness = 0.77, MeanDecodedCorrectly = 1, MeanAverageDecoded = 1, MeanMillisecondsElapsed = 32.34 }
BatteryDecodingResult { Fullness = 0.771, MeanDecodedCorrectly = 1, MeanAverageDecoded = 1, MeanMillisecondsElapsed = 42.29 }
BatteryDecodingResult { Fullness = 0.772, MeanDecodedCorrectly = 1, MeanAverageDecoded = 1, MeanMillisecondsElapsed = 128.72 }
BatteryDecodingResult { Fullness = 0.773, MeanDecodedCorrectly = 1, MeanAverageDecoded = 1, MeanMillisecondsElapsed = 31.34 }
BatteryDecodingResult { Fullness = 0.774, MeanDecodedCorrectly = 1, MeanAverageDecoded = 1, MeanMillisecondsElapsed = 1759.24 }
BatteryDecodingResult { Fullness = 0.775, MeanDecodedCorrectly = 1, MeanAverageDecoded = 1, MeanMillisecondsElapsed = 67.15 }
BatteryDecodingResult { Fullness = 0.776, MeanDecodedCorrectly = 1, MeanAverageDecoded = 1, MeanMillisecondsElapsed = 41.21 }
BatteryDecodingResult { Fullness = 0.777, MeanDecodedCorrectly = 1, MeanAverageDecoded = 1, MeanMillisecondsElapsed = 35.19 }
BatteryDecodingResult { Fullness = 0.778, MeanDecodedCorrectly = 1, MeanAverageDecoded = 1, MeanMillisecondsElapsed = 909.14 }
BatteryDecodingResult { Fullness = 0.779, MeanDecodedCorrectly = 1, MeanAverageDecoded = 1, MeanMillisecondsElapsed = 42.74 }
BatteryDecodingResult { Fullness = 0.78, MeanDecodedCorrectly = 1, MeanAverageDecoded = 1, MeanMillisecondsElapsed = 32.32 }
BatteryDecodingResult { Fullness = 0.781, MeanDecodedCorrectly = 1, MeanAverageDecoded = 1, MeanMillisecondsElapsed = 32.7 }
BatteryDecodingResult { Fullness = 0.782, MeanDecodedCorrectly = 1, MeanAverageDecoded = 1, MeanMillisecondsElapsed = 53.31 }
BatteryDecodingResult { Fullness = 0.783, MeanDecodedCorrectly = 1, MeanAverageDecoded = 1, MeanMillisecondsElapsed = 133.87 }
BatteryDecodingResult { Fullness = 0.784, MeanDecodedCorrectly = 1, MeanAverageDecoded = 1, MeanMillisecondsElapsed = 32.57 }
BatteryDecodingResult { Fullness = 0.785, MeanDecodedCorrectly = 1, MeanAverageDecoded = 1, MeanMillisecondsElapsed = 35.83 }
BatteryDecodingResult { Fullness = 0.786, MeanDecodedCorrectly = 0.99, MeanAverageDecoded = 0.99, MeanMillisecondsElapsed = 33.97 }
BatteryDecodingResult { Fullness = 0.787, MeanDecodedCorrectly = 1, MeanAverageDecoded = 1, MeanMillisecondsElapsed = 92.16 }
BatteryDecodingResult { Fullness = 0.788, MeanDecodedCorrectly = 1, MeanAverageDecoded = 1, MeanMillisecondsElapsed = 31.69 }
BatteryDecodingResult { Fullness = 0.789, MeanDecodedCorrectly = 1, MeanAverageDecoded = 1, MeanMillisecondsElapsed = 50.76 }
BatteryDecodingResult { Fullness = 0.79, MeanDecodedCorrectly = 1, MeanAverageDecoded = 1, MeanMillisecondsElapsed = 42.6 }
BatteryDecodingResult { Fullness = 0.791, MeanDecodedCorrectly = 1, MeanAverageDecoded = 1, MeanMillisecondsElapsed = 238.56 }
BatteryDecodingResult { Fullness = 0.792, MeanDecodedCorrectly = 1, MeanAverageDecoded = 1, MeanMillisecondsElapsed = 52.93 }
BatteryDecodingResult { Fullness = 0.793, MeanDecodedCorrectly = 1, MeanAverageDecoded = 1, MeanMillisecondsElapsed = 49 }
BatteryDecodingResult { Fullness = 0.794, MeanDecodedCorrectly = 1, MeanAverageDecoded = 1, MeanMillisecondsElapsed = 37.58 }
BatteryDecodingResult { Fullness = 0.795, MeanDecodedCorrectly = 1, MeanAverageDecoded = 1, MeanMillisecondsElapsed = 43.06 }
BatteryDecodingResult { Fullness = 0.796, MeanDecodedCorrectly = 1, MeanAverageDecoded = 1, MeanMillisecondsElapsed = 149 }
BatteryDecodingResult { Fullness = 0.797, MeanDecodedCorrectly = 1, MeanAverageDecoded = 1, MeanMillisecondsElapsed = 33.73 }
BatteryDecodingResult { Fullness = 0.798, MeanDecodedCorrectly = 1, MeanAverageDecoded = 1, MeanMillisecondsElapsed = 45.58 }
BatteryDecodingResult { Fullness = 0.799, MeanDecodedCorrectly = 1, MeanAverageDecoded = 1, MeanMillisecondsElapsed = 36.71 }
BatteryDecodingResult { Fullness = 0.8, MeanDecodedCorrectly = 1, MeanAverageDecoded = 1, MeanMillisecondsElapsed = 180.91 }
BatteryDecodingResult { Fullness = 0.801, MeanDecodedCorrectly = 1, MeanAverageDecoded = 1, MeanMillisecondsElapsed = 40.88 }
BatteryDecodingResult { Fullness = 0.802, MeanDecodedCorrectly = 0.99, MeanAverageDecoded = 0.99, MeanMillisecondsElapsed = 48.87 }
BatteryDecodingResult { Fullness = 0.803, MeanDecodedCorrectly = 1, MeanAverageDecoded = 1, MeanMillisecondsElapsed = 44.77 }
BatteryDecodingResult { Fullness = 0.804, MeanDecodedCorrectly = 0.99, MeanAverageDecoded = 0.99, MeanMillisecondsElapsed = 293.18 }
BatteryDecodingResult { Fullness = 0.805, MeanDecodedCorrectly = 0.97, MeanAverageDecoded = 0.97, MeanMillisecondsElapsed = 115.61 }
BatteryDecodingResult { Fullness = 0.806, MeanDecodedCorrectly = 0.96, MeanAverageDecoded = 0.96, MeanMillisecondsElapsed = 71.08 }
BatteryDecodingResult { Fullness = 0.807, MeanDecodedCorrectly = 0.97, MeanAverageDecoded = 0.97, MeanMillisecondsElapsed = 35.04 }
BatteryDecodingResult { Fullness = 0.808, MeanDecodedCorrectly = 0.96, MeanAverageDecoded = 0.96, MeanMillisecondsElapsed = 72.55 }
BatteryDecodingResult { Fullness = 0.809, MeanDecodedCorrectly = 0.91, MeanAverageDecoded = 0.91, MeanMillisecondsElapsed = 1959.01 }
BatteryDecodingResult { Fullness = 0.81, MeanDecodedCorrectly = 0.88, MeanAverageDecoded = 0.88, MeanMillisecondsElapsed = 249.88 }
BatteryDecodingResult { Fullness = 0.811, MeanDecodedCorrectly = 0.87, MeanAverageDecoded = 0.87, MeanMillisecondsElapsed = 61.43 }
BatteryDecodingResult { Fullness = 0.812, MeanDecodedCorrectly = 0.72, MeanAverageDecoded = 0.72, MeanMillisecondsElapsed = 57.61 }
BatteryDecodingResult { Fullness = 0.8130000000000001, MeanDecodedCorrectly = 0.69, MeanAverageDecoded = 0.69, MeanMillisecondsElapsed = 36.44 }
BatteryDecodingResult { Fullness = 0.8140000000000001, MeanDecodedCorrectly = 0.66, MeanAverageDecoded = 0.66, MeanMillisecondsElapsed = 1300.34 }
BatteryDecodingResult { Fullness = 0.8150000000000001, MeanDecodedCorrectly = 0.61, MeanAverageDecoded = 0.61, MeanMillisecondsElapsed = 338.18 }
BatteryDecodingResult { Fullness = 0.8160000000000001, MeanDecodedCorrectly = 0.48, MeanAverageDecoded = 0.48, MeanMillisecondsElapsed = 61.53 }
BatteryDecodingResult { Fullness = 0.8170000000000001, MeanDecodedCorrectly = 0.42, MeanAverageDecoded = 0.42, MeanMillisecondsElapsed = 41.62 }
BatteryDecodingResult { Fullness = 0.8180000000000001, MeanDecodedCorrectly = 0.35, MeanAverageDecoded = 0.35, MeanMillisecondsElapsed = 36.8 }
BatteryDecodingResult { Fullness = 0.8190000000000001, MeanDecodedCorrectly = 0.22, MeanAverageDecoded = 0.22, MeanMillisecondsElapsed = 45.9 }
BatteryDecodingResult { Fullness = 0.8200000000000001, MeanDecodedCorrectly = 0.16, MeanAverageDecoded = 0.16, MeanMillisecondsElapsed = 42.31 }
BatteryDecodingResult { Fullness = 0.8210000000000001, MeanDecodedCorrectly = 0.14, MeanAverageDecoded = 0.14, MeanMillisecondsElapsed = 1966.17 }
BatteryDecodingResult { Fullness = 0.8220000000000001, MeanDecodedCorrectly = 0.07, MeanAverageDecoded = 0.07, MeanMillisecondsElapsed = 32.26 }
BatteryDecodingResult { Fullness = 0.8230000000000001, MeanDecodedCorrectly = 0.08, MeanAverageDecoded = 0.08, MeanMillisecondsElapsed = 30.58 }
BatteryDecodingResult { Fullness = 0.8240000000000001, MeanDecodedCorrectly = 0.05, MeanAverageDecoded = 0.05, MeanMillisecondsElapsed = 30 }
BatteryDecodingResult { Fullness = 0.8250000000000001, MeanDecodedCorrectly = 0.04, MeanAverageDecoded = 0.04, MeanMillisecondsElapsed = 29.17 }
BatteryDecodingResult { Fullness = 0.8260000000000001, MeanDecodedCorrectly = 0.01, MeanAverageDecoded = 0.01, MeanMillisecondsElapsed = 29.05 }
BatteryDecodingResult { Fullness = 0.8270000000000001, MeanDecodedCorrectly = 0, MeanAverageDecoded = 0, MeanMillisecondsElapsed = 31.58 }
BatteryDecodingResult { Fullness = 0.8280000000000001, MeanDecodedCorrectly = 0, MeanAverageDecoded = 0, MeanMillisecondsElapsed = 42.25 }
BatteryDecodingResult { Fullness = 0.8290000000000001, MeanDecodedCorrectly = 0, MeanAverageDecoded = 0, MeanMillisecondsElapsed = 45.43 }
BatteryDecodingResult { Fullness = 0.8300000000000001, MeanDecodedCorrectly = 0, MeanAverageDecoded = 0, MeanMillisecondsElapsed = 518.53 }
BatteryDecodingResult { Fullness = 0.8310000000000001, MeanDecodedCorrectly = 0, MeanAverageDecoded = 0, MeanMillisecondsElapsed = 32.84 }
BatteryDecodingResult { Fullness = 0.8320000000000001, MeanDecodedCorrectly = 0, MeanAverageDecoded = 0, MeanMillisecondsElapsed = 34.88 }
BatteryDecodingResult { Fullness = 0.8330000000000001, MeanDecodedCorrectly = 0, MeanAverageDecoded = 0, MeanMillisecondsElapsed = 28.85 }
BatteryDecodingResult { Fullness = 0.8340000000000001, MeanDecodedCorrectly = 0, MeanAverageDecoded = 0, MeanMillisecondsElapsed = 1810.09 }
BatteryDecodingResult { Fullness = 0.8350000000000001, MeanDecodedCorrectly = 0, MeanAverageDecoded = 0, MeanMillisecondsElapsed = 58.47 }
BatteryDecodingResult { Fullness = 0.8360000000000001, MeanDecodedCorrectly = 0, MeanAverageDecoded = 0, MeanMillisecondsElapsed = 32.81 }
BatteryDecodingResult { Fullness = 0.8370000000000001, MeanDecodedCorrectly = 0, MeanAverageDecoded = 0, MeanMillisecondsElapsed = 63.27 }
BatteryDecodingResult { Fullness = 0.8380000000000001, MeanDecodedCorrectly = 0, MeanAverageDecoded = 0, MeanMillisecondsElapsed = 32.09 }
BatteryDecodingResult { Fullness = 0.8390000000000001, MeanDecodedCorrectly = 0, MeanAverageDecoded = 0, MeanMillisecondsElapsed = 1265.19 }
BatteryDecodingResult { Fullness = 0.8400000000000001, MeanDecodedCorrectly = 0, MeanAverageDecoded = 0, MeanMillisecondsElapsed = 129.43 }
BatteryDecodingResult { Fullness = 0.8410000000000001, MeanDecodedCorrectly = 0, MeanAverageDecoded = 0, MeanMillisecondsElapsed = 35.19 }
BatteryDecodingResult { Fullness = 0.8420000000000001, MeanDecodedCorrectly = 0, MeanAverageDecoded = 0, MeanMillisecondsElapsed = 30.57 }
BatteryDecodingResult { Fullness = 0.8430000000000001, MeanDecodedCorrectly = 0, MeanAverageDecoded = 0, MeanMillisecondsElapsed = 46.75 }
BatteryDecodingResult { Fullness = 0.8440000000000001, MeanDecodedCorrectly = 0, MeanAverageDecoded = 0, MeanMillisecondsElapsed = 2172.56 }
BatteryDecodingResult { Fullness = 0.8450000000000001, MeanDecodedCorrectly = 0, MeanAverageDecoded = 0, MeanMillisecondsElapsed = 44.54 }
BatteryDecodingResult { Fullness = 0.8460000000000001, MeanDecodedCorrectly = 0, MeanAverageDecoded = 0, MeanMillisecondsElapsed = 33.95 }
BatteryDecodingResult { Fullness = 0.8470000000000001, MeanDecodedCorrectly = 0, MeanAverageDecoded = 0, MeanMillisecondsElapsed = 28.44 }
BatteryDecodingResult { Fullness = 0.8480000000000001, MeanDecodedCorrectly = 0, MeanAverageDecoded = 0, MeanMillisecondsElapsed = 37.53 }
BatteryDecodingResult { Fullness = 0.8490000000000001, MeanDecodedCorrectly = 0, MeanAverageDecoded = 0, MeanMillisecondsElapsed = 469.13 }
