Fullness, Decoded, Time
0.720000, 1.000000, 37.590000
0.721000, 1.000000, 37.990000
0.722000, 1.000000, 29.320000
0.723000, 1.000000, 27.700000
0.724000, 1.000000, 28.150000
0.725000, 1.000000, 64.150000
0.726000, 1.000000, 25.860000
0.727000, 1.000000, 28.440000
0.728000, 1.000000, 28.830000
0.729000, 1.000000, 26.970000
0.730000, 1.000000, 33.360000
0.731000, 1.000000, 34.660000
0.732000, 1.000000, 51.300000
0.733000, 1.000000, 28.910000
0.734000, 1.000000, 26.990000
0.735000, 1.000000, 27.470000
0.736000, 1.000000, 27.460000
0.737000, 1.000000, 27.900000
0.738000, 1.000000, 32.680000
0.739000, 1.000000, 33.220000
0.740000, 1.000000, 30.650000
0.741000, 1.000000, 34.280000
0.742000, 1.000000, 375.960000
0.743000, 1.000000, 31.320000
0.744000, 1.000000, 30.160000
0.745000, 1.000000, 38.450000
0.746000, 1.000000, 29.060000
0.747000, 1.000000, 31.020000
0.748000, 1.000000, 41.020000
0.749000, 1.000000, 29.140000
0.750000, 1.000000, 29.210000
0.751000, 1.000000, 44.440000
0.752000, 1.000000, 32.910000
0.753000, 1.000000, 32.960000
0.754000, 1.000000, 70.860000
0.755000, 1.000000, 27.730000
0.756000, 1.000000, 32.700000
0.757000, 1.000000, 54.860000
0.758000, 1.000000, 29.620000
0.759000, 1.000000, 43.230000
0.760000, 1.000000, 117.870000
0.761000, 0.990000, 36.660000
0.762000, 1.000000, 94.730000
0.763000, 0.990000, 28.350000
0.764000, 1.000000, 37.800000
0.765000, 1.000000, 34.790000
0.766000, 1.000000, 42.890000
0.767000, 1.000000, 29.300000
0.768000, 1.000000, 31.820000
0.769000, 1.000000, 86.500000
0.770000, 1.000000, 32.340000
0.771000, 1.000000, 42.290000
0.772000, 1.000000, 128.720000
0.773000, 1.000000, 31.340000
0.774000, 1.000000, 1759.240000
0.775000, 1.000000, 67.150000
0.776000, 1.000000, 41.210000
0.777000, 1.000000, 35.190000
0.778000, 1.000000, 909.140000
0.779000, 1.000000, 42.740000
0.780000, 1.000000, 32.320000
0.781000, 1.000000, 32.700000
0.782000, 1.000000, 53.310000
0.783000, 1.000000, 133.870000
0.784000, 1.000000, 32.570000
0.785000, 1.000000, 35.830000
0.786000, 0.990000, 33.970000
0.787000, 1.000000, 92.160000
0.788000, 1.000000, 31.690000
0.789000, 1.000000, 50.760000
0.790000, 1.000000, 42.600000
0.791000, 1.000000, 238.560000
0.792000, 1.000000, 52.930000
0.793000, 1.000000, 49.000000
0.794000, 1.000000, 37.580000
0.795000, 1.000000, 43.060000
0.796000, 1.000000, 149.000000
0.797000, 1.000000, 33.730000
0.798000, 1.000000, 45.580000
0.799000, 1.000000, 36.710000
0.800000, 1.000000, 180.910000
0.801000, 1.000000, 40.880000
0.802000, 0.990000, 48.870000
0.803000, 1.000000, 44.770000
0.804000, 0.990000, 293.180000
0.805000, 0.970000, 115.610000
0.806000, 0.960000, 71.080000
0.807000, 0.970000, 35.040000
0.808000, 0.960000, 72.550000
0.809000, 0.910000, 1959.010000
0.810000, 0.880000, 249.880000
0.811000, 0.870000, 61.430000
0.812000, 0.720000, 57.610000
0.813000, 0.690000, 36.440000
0.814000, 0.660000, 1300.340000
0.815000, 0.610000, 338.180000
0.816000, 0.480000, 61.530000
0.817000, 0.420000, 41.620000
0.818000, 0.350000, 36.800000
0.819000, 0.220000, 45.900000
0.820000, 0.160000, 42.310000
0.821000, 0.140000, 1966.170000
0.822000, 0.070000, 32.260000
0.823000, 0.080000, 30.580000
0.824000, 0.050000, 30.000000
0.825000, 0.040000, 29.170000
0.826000, 0.010000, 29.050000
0.827000, 0.000000, 31.580000
0.828000, 0.000000, 42.250000
0.829000, 0.000000, 45.430000
0.830000, 0.000000, 518.530000
0.831000, 0.000000, 32.840000
0.832000, 0.000000, 34.880000
0.833000, 0.000000, 28.850000
0.834000, 0.000000, 1810.090000
0.835000, 0.000000, 58.470000
0.836000, 0.000000, 32.810000
0.837000, 0.000000, 63.270000
0.838000, 0.000000, 32.090000
0.839000, 0.000000, 1265.190000
0.840000, 0.000000, 129.430000
0.841000, 0.000000, 35.190000
0.842000, 0.000000, 30.570000
0.843000, 0.000000, 46.750000
0.844000, 0.000000, 2172.560000
0.845000, 0.000000, 44.540000
0.846000, 0.000000, 33.950000
0.847000, 0.000000, 28.440000
0.848000, 0.000000, 37.530000
0.849000, 0.000000, 469.130000
